index,Country,ObservationDate,Confirmed,Deaths,Recovered,Cases,R,D
0,Afghanistan,01/22/2020,0,0,0,0,0,0
1,Albania,01/22/2020,0,0,0,0,0,0
2,Algeria,01/22/2020,0,0,0,0,0,0
3,Andorra,01/22/2020,0,0,0,0,0,0
4,Angola,01/22/2020,0,0,0,0,0,0
5,Antigua and Barbuda,01/22/2020,0,0,0,0,0,0
6,Argentina,01/22/2020,0,0,0,0,0,0
7,Armenia,01/22/2020,0,0,0,0,0,0
8,Australia,01/22/2020,0,0,0,0,0,0
9,Azerbaijan,01/22/2020,0,0,0,0,0,0
10,Bahamas,01/22/2020,0,0,0,0,0,0
11,Bahrain,01/22/2020,0,0,0,0,0,0
12,Bangladesh,01/22/2020,0,0,0,0,0,0
13,Barbados,01/22/2020,0,0,0,0,0,0
14,Belarus,01/22/2020,0,0,0,0,0,0
15,Belgium,01/22/2020,0,0,0,0,0,0
16,Benin,01/22/2020,0,0,0,0,0,0
17,Bhutan,01/22/2020,0,0,0,0,0,0
18,Bolivia,01/22/2020,0,0,0,0,0,0
19,Bosnia and Herzegovina,01/22/2020,0,0,0,0,0,0
20,Brazil,01/22/2020,0,0,0,0,0,0
21,Brunei,01/22/2020,0,0,0,0,0,0
22,Bulgaria,01/22/2020,0,0,0,0,0,0
23,Burkina Faso,01/22/2020,0,0,0,0,0,0
24,Cabo Verde,01/22/2020,0,0,0,0,0,0
25,Cambodia,01/22/2020,0,0,0,0,0,0
26,Cameroon,01/22/2020,0,0,0,0,0,0
27,Canada,01/22/2020,0,0,0,0,0,0
28,Central African Republic,01/22/2020,0,0,0,0,0,0
29,Chad,01/22/2020,0,0,0,0,0,0
30,Chile,01/22/2020,0,0,0,0,0,0
31,China,01/22/2020,548,17,28,548,28,17
32,Colombia,01/22/2020,0,0,0,0,0,0
33,Congo (Brazzaville),01/22/2020,0,0,0,0,0,0
34,Congo (Kinshasa),01/22/2020,0,0,0,0,0,0
35,Costa Rica,01/22/2020,0,0,0,0,0,0
36,Cote d'Ivoire,01/22/2020,0,0,0,0,0,0
37,Croatia,01/22/2020,0,0,0,0,0,0
38,Diamond Princess,01/22/2020,0,0,0,0,0,0
39,Cuba,01/22/2020,0,0,0,0,0,0
40,Cyprus,01/22/2020,0,0,0,0,0,0
41,Czechia,01/22/2020,0,0,0,0,0,0
42,Denmark,01/22/2020,0,0,0,0,0,0
43,Djibouti,01/22/2020,0,0,0,0,0,0
44,Dominican Republic,01/22/2020,0,0,0,0,0,0
45,Ecuador,01/22/2020,0,0,0,0,0,0
46,Egypt,01/22/2020,0,0,0,0,0,0
47,El Salvador,01/22/2020,0,0,0,0,0,0
48,Equatorial Guinea,01/22/2020,0,0,0,0,0,0
49,Eritrea,01/22/2020,0,0,0,0,0,0
50,Estonia,01/22/2020,0,0,0,0,0,0
51,Eswatini,01/22/2020,0,0,0,0,0,0
52,Ethiopia,01/22/2020,0,0,0,0,0,0
53,Fiji,01/22/2020,0,0,0,0,0,0
54,Finland,01/22/2020,0,0,0,0,0,0
55,France,01/22/2020,0,0,0,0,0,0
56,Gabon,01/22/2020,0,0,0,0,0,0
57,Gambia,01/22/2020,0,0,0,0,0,0
58,Georgia,01/22/2020,0,0,0,0,0,0
59,Germany,01/22/2020,0,0,0,0,0,0
60,Ghana,01/22/2020,0,0,0,0,0,0
61,Greece,01/22/2020,0,0,0,0,0,0
62,Guatemala,01/22/2020,0,0,0,0,0,0
63,Guinea,01/22/2020,0,0,0,0,0,0
64,Guyana,01/22/2020,0,0,0,0,0,0
65,Haiti,01/22/2020,0,0,0,0,0,0
66,Holy See,01/22/2020,0,0,0,0,0,0
67,Honduras,01/22/2020,0,0,0,0,0,0
68,Hungary,01/22/2020,0,0,0,0,0,0
69,Iceland,01/22/2020,0,0,0,0,0,0
70,India,01/22/2020,0,0,0,0,0,0
71,Indonesia,01/22/2020,0,0,0,0,0,0
72,Iran,01/22/2020,0,0,0,0,0,0
73,Iraq,01/22/2020,0,0,0,0,0,0
74,Ireland,01/22/2020,0,0,0,0,0,0
75,Israel,01/22/2020,0,0,0,0,0,0
76,Italy,01/22/2020,0,0,0,0,0,0
77,Jamaica,01/22/2020,0,0,0,0,0,0
78,Japan,01/22/2020,2,0,0,2,0,0
79,Jordan,01/22/2020,0,0,0,0,0,0
80,Kazakhstan,01/22/2020,0,0,0,0,0,0
81,Kenya,01/22/2020,0,0,0,0,0,0
82,"Korea, South",01/22/2020,1,0,0,1,0,0
83,Kuwait,01/22/2020,0,0,0,0,0,0
84,Kyrgyzstan,01/22/2020,0,0,0,0,0,0
85,Latvia,01/22/2020,0,0,0,0,0,0
86,Lebanon,01/22/2020,0,0,0,0,0,0
87,Liberia,01/22/2020,0,0,0,0,0,0
88,Liechtenstein,01/22/2020,0,0,0,0,0,0
89,Lithuania,01/22/2020,0,0,0,0,0,0
90,Luxembourg,01/22/2020,0,0,0,0,0,0
91,Madagascar,01/22/2020,0,0,0,0,0,0
92,Malaysia,01/22/2020,0,0,0,0,0,0
93,Maldives,01/22/2020,0,0,0,0,0,0
94,Malta,01/22/2020,0,0,0,0,0,0
95,Mauritania,01/22/2020,0,0,0,0,0,0
96,Mauritius,01/22/2020,0,0,0,0,0,0
97,Mexico,01/22/2020,0,0,0,0,0,0
98,Moldova,01/22/2020,0,0,0,0,0,0
99,Monaco,01/22/2020,0,0,0,0,0,0
100,Mongolia,01/22/2020,0,0,0,0,0,0
101,Montenegro,01/22/2020,0,0,0,0,0,0
102,Morocco,01/22/2020,0,0,0,0,0,0
103,Namibia,01/22/2020,0,0,0,0,0,0
104,Nepal,01/22/2020,0,0,0,0,0,0
105,Netherlands,01/22/2020,0,0,0,0,0,0
106,New Zealand,01/22/2020,0,0,0,0,0,0
107,Nicaragua,01/22/2020,0,0,0,0,0,0
108,Niger,01/22/2020,0,0,0,0,0,0
109,Nigeria,01/22/2020,0,0,0,0,0,0
110,North Macedonia,01/22/2020,0,0,0,0,0,0
111,Norway,01/22/2020,0,0,0,0,0,0
112,Oman,01/22/2020,0,0,0,0,0,0
113,Pakistan,01/22/2020,0,0,0,0,0,0
114,Panama,01/22/2020,0,0,0,0,0,0
115,Papua New Guinea,01/22/2020,0,0,0,0,0,0
116,Paraguay,01/22/2020,0,0,0,0,0,0
117,Peru,01/22/2020,0,0,0,0,0,0
118,Philippines,01/22/2020,0,0,0,0,0,0
119,Poland,01/22/2020,0,0,0,0,0,0
120,Portugal,01/22/2020,0,0,0,0,0,0
121,Qatar,01/22/2020,0,0,0,0,0,0
122,Romania,01/22/2020,0,0,0,0,0,0
123,Russia,01/22/2020,0,0,0,0,0,0
124,Rwanda,01/22/2020,0,0,0,0,0,0
